Car Title,Car Price,Car Location,Car Year,Car Km,Car Fuel,Car CC,Car Transmission
Toyota Vitz  2015  for Sale,PKR 28.85 lacs,Karachi,2015,"88,000 km",Petrol,1000 cc,Automatic
Hyundai Santro  2003 Club for Sale,PKR 10.5 lacs,Karachi,2003,"130,000 km",Petrol,1000 cc,Manual
Toyota Passo  2015 Plus Hana C for Sale,PKR 27.9 lacs,Karachi,2015,"73,000 km",Petrol,1000 cc,Automatic
Honda Civic 7th Generation (Facelift) 2005 EXi Prosmatec for Sale,PKR 17.2 lacs,Karachi,2005,"101,800 km",Petrol,1500 cc,Automatic
Suzuki Wagon R  2020 VXL for Sale,PKR 26.25 lacs,Karachi,2020,"47,000 km",Petrol,1000 cc,Manual
Honda Vezel  2016 Hybrid Z Honda Sensing  for Sale,PKR 51 lacs,Karachi,2016,"130,000 km",Hybrid,1500 cc,Automatic
Toyota Yaris Hatchback  2021 X for Sale,PKR 42.95 lacs,Karachi,2021,"110,000 km",Petrol,1000 cc,Automatic
Daihatsu Mira  2021 X SA lll for Sale,PKR 35.5 lacs,Karachi,2021,"34,000 km",Petrol,660 cc,Automatic
Daihatsu Mira  2014 X Memorial Edition for Sale,PKR 23.45 lacs,Karachi,2014,"90,000 km",Petrol,660 cc,Automatic
Toyota Fortuner  2021 2.8 Sigma 4 for Sale,PKR 1.53 crore,Karachi,2021,"40,000 km",Diesel,2800 cc,Automatic
Toyota Corolla  2009 XLi VVTi for Sale,PKR 25 lacs,Karachi,2009,"92,000 km",Petrol,1300 cc,Manual
Toyota Wish  2007 1.8S for Sale,PKR 32.5 lacs,Karachi,2007,"130,000 km",Petrol,1800 cc,Automatic
Toyota Vitz  2014 F Intelligent Package 1.0 for Sale,PKR 31.5 lacs,Karachi,2014,"106,000 km",Petrol,1000 cc,Automatic
Toyota Corolla  2009 XLi VVTi for Sale,PKR 22 lacs,Karachi,2009,"200,000 km",Petrol,1300 cc,Manual
Suzuki Liana  2007 LXi Sport for Sale,PKR 10.95 lacs,Karachi,2007,"200,000 km",Petrol,1300 cc,Manual
Toyota Wish  2007 1.8 X Limited for Sale,PKR 32.5 lacs,Karachi,2007,"130,000 km",Petrol,1800 cc,Automatic
Suzuki Swift  2025 GLX CVT for Sale,PKR 50.7 lacs,Karachi,2025,10 km,Petrol,1200 cc,Automatic
Toyota Corolla  2012 GLi Automatic 1.6 VVTi for Sale,PKR 33.75 lacs,Karachi,2012,"83,000 km",Petrol,1600 cc,Automatic
Suzuki Wagon R  2021 Hybrid FZ for Sale,PKR 38.25 lacs,Karachi,2021,"25,600 km",Hybrid,660 cc,Automatic
Suzuki Swift  2016 DLX Automatic 1.3 for Sale,PKR 23 lacs,Karachi,2016,"175,000 km",Petrol,1300 cc,Automatic
Toyota Corolla  2021 Altis Grande X CVT-i 1.8 Beige Interior for Sale,PKR 62.8 lacs,Karachi,2021,"33,000 km",Petrol,1800 cc,Automatic
Daihatsu Rocky  2021 Premium for Sale,PKR 54 lacs,Karachi,2021,"117,800 km",Petrol,1000 cc,Automatic
Toyota Corolla  2023 Altis Grande X CVT-i 1.8 Black Interior for Sale,PKR 68.75 lacs,Karachi,2023,"23,000 km",Petrol,1800 cc,Automatic
Nissan Note  2020 MEDALIST for Sale,PKR 49 lacs,Karachi,2020,"71,818 km",Hybrid,1198 cc,Automatic
Honda Civic  2021 Oriel 1.8 i-VTEC CVT for Sale,PKR 55.75 lacs,Karachi,2021,"48,000 km",Petrol,1800 cc,Automatic
Toyota Prado  2005 TZ 3.4 for Sale,PKR 80 lacs,Karachi,2005,"165,265 km",Petrol,3400 cc,Automatic
Toyota Raize  2021 Z for Sale,PKR 64.5 lacs,Karachi,2021,"19,000 km",Petrol,1000 cc,Automatic
Toyota Prado  2017 TX L Package 2.7 for Sale,PKR 2.25 crore,Karachi,2017,"87,000 km",Petrol,2700 cc,Automatic
Nissan Juke  2012 15RX for Sale,PKR 28 lacs,Karachi,2012,"98,900 km",Petrol,1500 cc,Automatic
Honda Jade  2015 Hybrid X for Sale,PKR 41 lacs,Karachi,2015,"170,000 km",Hybrid,1497 cc,Automatic
Toyota Fortuner  2023 Legender  for Sale,PKR 1.85 crore,Karachi,2023,"45,000 km",Diesel,2800 cc,Automatic
